Product_Name,Category,Brand,Price,Rating
Puma Slim Fit T-shirt,T-shirt,Puma,799,4.2
H&M Regular Fit Shirt,Shirt,H&M,1199,4.4
Nike Sports Shoes,Shoes,Nike,2499,4.5
Zara Floral Dress,Dress,Zara,1999,4.1
Adidas Track Pants,Pants,Adidas,1299,4.3
Levi's Slim Jeans,Jeans,Levi's,2099,4.6
Roadster Casual Shirt,Shirt,Roadster,899,4.0
H&M Cotton Dress,Dress,H&M,1599,4.2
Sparx Walking Shoes,Shoes,Sparx,999,4.0
HRX Performance T-shirt,T-shirt,HRX,699,4.3
Bewakoof Graphic Tee,T-shirt,Bewakoof,499,4.1
ONLY Skater Dress,Dress,ONLY,1899,4.4
Zara Wide Leg Jeans,Jeans,Zara,2299,4.5
H&M Chino Pants,Pants,H&M,1399,4.2
Levi's Basic Shirt,Shirt,Levi's,1499,4.4
Puma Casual Shoes,Shoes,Puma,1999,4.3
Adidas Sports Tee,T-shirt,Adidas,1099,4.5
